iraq	ottoman	ottoman
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
kentucky	kentucky	kentucky
wisconsin	wisconsin	wisconsin
oregon	oregon	oregon
arizona	!align="right	!align="right
california	!align="right	!align="right
california	colorado	colorado
arizona	arizona	arizona
georgia	georgia	georgia
nebraska	nebraska	nebraska
florida	florida	florida
oklahoma	oklahoma	oklahoma
california	california	california
ohio	browns	ohio
minnesota	minnesota	minnesota
kansas	!align="right	!align="right
texas	cemetery	cemetery
california	!align="right	!align="right
florida	redskins	redskins
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	ohio	ohio
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	ohio	ohio
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	louisiana	louisiana
florida	florida	florida
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	missouri	census-designated
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	lewis	lewis
wisconsin	ohio	ohio
oregon	oregon	oregon
arizona	!align="right	!align="right
california	!align="right	!align="right
california	indiana	oregon
arizona	mexico	medina
georgia	indiana	indiana
nebraska	nebraska	nebraska
florida	carolina	carolina
oklahoma	oklahoma	unincorporated
california	california	california
ohio	browns	ohio
minnesota	lexington	lexington
kansas	!align="right	!align="right
texas	virginia	unincorporated
california	!align="right	!align="right
florida	rays	rays
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	ohio	ohio
california	!align="right	!align="right
ohio	ohio	ohio
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	unincorporated	unincorporated
florida	angelo	angelo
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	unincorporated	unincorporated
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	unincorporated	unincorporated
california	!align="right	!align="right
oregon	oregon	oregon
arizona	!align="right	!align="right
california	!align="right	!align="right
california	dakota	dakota
arizona	dakota	dakota
georgia	dakota	dakota
nebraska	nebraska	nebraska
florida	florida	florida
oklahoma	oklahoma	oklahoma
california	california	california
ohio	dakota	dakota
minnesota	minnesota	minnesota
kansas	!align="right	!align="right
texas	cemetery	cemetery
california	!align="right	!align="right
florida	minnesota	intercepted
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	dakota	dakota
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	ohio	ohio
alaska	!align="right	!align="right
ohio	dakota	dakota
texas	!align="right	!align="right
nevada	dakota	dakota
florida	dakota	florida
texas	!align="right	!align="right
arizona	!align="right	!align="right
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	dakota	dakota
arizona	!align="right	!align="right
texas	dakota	dakota
california	!align="right	!align="right
california	dakota	dakota
arizona	!align="right	!align="right
california	!align="right	!align="right
california	colorado	colorado
arizona	mexico	mexico
georgia	falcons	georgia
nebraska	nebraska	nebraska
florida	florida	mississippi
oklahoma	oklahoma	oklahoma
california	dodgers	inning
ohio	browns	browns
minnesota	minnesota	minnesota
kansas	!align="right	!align="right
texas	cemetery	cemetery
california	!align="right	!align="right
florida	patriots	mississippi
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	ohio	ohio
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	ohio	ohio
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	buddy	carson
florida	mississippi	mississippi
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	unincorporated	unincorporated
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	alaska	alaska
california	!align="right	!align="right
california	clyde	gorge
washington	!align="right	!align="right
california	utah	utah
california	utah	utah
georgia	utah	sacramento
nebraska	nebraska	nebraska
florida	utah	utah
oklahoma	oklahoma	oklahoma
california	california	california
ohio	utah	cardinals
minnesota	minnesota	minnesota
kansas	utah	utah
texas	california	california
california	utah	utah
florida	waived	waived
california	utah	utah
hawaii	utah	utah
pennsylvania	cardinals	cardinals
kentucky	utah	utah
california	utah	utah
ohio	cardinals	cardinals
alaska	utah	utah
ohio	utah	california
texas	utah	utah
nevada	utah	utah
florida	utah	california
texas	utah	utah
wisconsin	utah	utah
texas	utah	utah
texas	utah	utah
florida	utah	utah
nevada	utah	utah
texas	utah	utah
california	utah	utah
california	utah	utah
washington	utah	utah
california	utah	utah
arizona	san	san
georgia	san	san
nebraska	francisco	francisco
florida	san	angeles
oklahoma	texas	texas
ohio	los	los
minnesota	los	los
kansas	san	san
texas	los	los
florida	san	san
hawaii	hawaii	hawaii
pennsylvania	san	francisco
kentucky	los	los
ohio	oakland	oakland
alaska	san	san
ohio	san	san
texas	san	san
nevada	san	nevada
florida	san	san
texas	san	san
arizona	san	san
wisconsin	los	los
texas	san	san
texas	san	san
arizona	san	san
florida	san	san
nevada	nevada	nevada
arizona	san	san
texas	san	san
washington	san	san
louisiana	san	san
arizona	santa	santa
georgia	diego	philadelphia
nebraska	nebraska	nebraska
florida	florida	florida
oklahoma	texas	texas
ohio	los	los
minnesota	los	los
kansas	!align="right	!align="right
texas	cemetery	cemetery
florida	san	san
hawaii	hawaii	hawaii
pennsylvania	philadelphia	philadelphia
kentucky	massachusetts	massachusetts
ohio	reds	reds
alaska	!align="right	!align="right
ohio	pedro	pedro
texas	!align="right	!align="right
nevada	institute	institute
florida	florida	florida
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	census-designated	census-designated
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	hollywood	hollywood
washington	!align="right	!align="right
louisiana	!align="right	!align="right
washington	!align="right	!align="right
georgia	houston	houston
nebraska	nebraska	nebraska
florida	utah	oklahoma
oklahoma	oklahoma	oklahoma
california	dodgers	dodgers
ohio	browns	browns
minnesota	minnesota	minnesota
kansas	!align="right	!align="right
texas	cemetery	cemetery
california	!align="right	!align="right
florida	nfl	nfl
california	!align="right	!align="right
hawaii	utah	utah
pennsylvania	ohio	ohio
kentucky	utah	kentucky
california	!align="right	!align="right
ohio	cardinals	cardinals
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	utah	utah
florida	utah	affiliate
texas	!align="right	!align="right
wisconsin	utah	utah
texas	!align="right	!align="right
texas	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
texas	utah	utah
california	!align="right	!align="right
california	utah	utah
washington	!align="right	!align="right
california	!align="right	!align="right
louisiana	!align="right	!align="right
washington	!align="right	!align="right
california	!align="right	!align="right
nebraska	nebraska	nebraska
florida	florida	florida
oklahoma	oklahoma	oklahoma
california	auburn	auburn
ohio	ohio	ohio
minnesota	mississippi	mississippi
kansas	!align="right	!align="right
texas	cemetery	virginia
california	!align="right	!align="right
florida	florida	florida
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	ohio	ohio
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	ohio	ohio
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	louisiana	louisiana
florida	florida	florida
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	louisiana	louisiana
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	md	md
california	!align="right	!align="right
california	ballad	ballad
washington	!align="right	!align="right
california	!align="right	!align="right
louisiana	!align="right	!align="right
washington	!align="right	!align="right
california	!align="right	!align="right
california	!align="right	!align="right
florida	florida	florida
oklahoma	oklahoma	oklahoma
california	yankees	cardinals
ohio	browns	browns
minnesota	minnesota	minnesota
kansas	!align="right	!align="right
texas	cemetery	cemetery
california	!align="right	!align="right
florida	patriots	patriots
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	penn	penn
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	reds	reds
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	fletcher	fletcher
florida	florida	florida
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	jefferson	jefferson
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	martha	martha
california	!align="right	!align="right
california	keith	keith
washington	!align="right	!align="right
california	!align="right	!align="right
louisiana	!align="right	!align="right
washington	!align="right	!align="right
california	!align="right	!align="right
california	!align="right	!align="right
ohio	!align="right	!align="right
oklahoma	arkansas	arkansas
california	dodgers	dodgers
ohio	yankees	yankees
minnesota	minnesota	minnesota
kansas	!align="right	!align="right
texas	cemetery	cemetery
california	!align="right	!align="right
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	pirates	pirates
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	reds	reds
alaska	!align="right	!align="right
ohio	castile	castile
texas	!align="right	!align="right
nevada	fletcher	fletcher
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	census-designated	census-designated
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
texas	producers	producers
california	!align="right	!align="right
california	collegiate	mark
washington	!align="right	!align="right
california	!align="right	!align="right
louisiana	!align="right	!align="right
washington	!align="right	!align="right
california	!align="right	!align="right
california	!align="right	!align="right
ohio	!align="right	!align="right
texas	!align="right	!align="right
california	los	los
ohio	browns	browns
minnesota	mississippi	mississippi
kansas	!align="right	!align="right
texas	cemetery	buried
california	!align="right	!align="right
florida	mississippi	redskins
california	!align="right	!align="right
hawaii	hawaii	hawaii
pennsylvania	ohio	ohio
kentucky	kentucky	kentucky
california	!align="right	!align="right
ohio	ohio	ohio
alaska	!align="right	!align="right
ohio	ohio	ohio
texas	!align="right	!align="right
nevada	mississippi	carson
florida	mississippi	florida
texas	!align="right	!align="right
arizona	!align="right	!align="right
wisconsin	mississippi	mississippi
texas	!align="right	!align="right
texas	!align="right	!align="right
arizona	!align="right	!align="right
florida	!align="right	!align="right
nevada	nevada	nevada
arizona	!align="right	!align="right
